Strain,HOMO-LUMO,Total Energy,Total Time
+8percent,1.88275502,-120548.252312095,1770.865
+7percent,1.89195475,-120548.384139566,1848.209
+6percent,1.88871779,-120548.504659824,1929.668
+5percent,1.88160432,-120548.612383189,1979.873
+4percent,1.87449315,-120548.705728589,2040.223
+3percent,1.86771292,-120548.783019968,2067.193
+2percent,1.859296,-120548.842476463,2117.696
+1percent,1.84536926,-120548.882240239,2127.559
+0percent,1.83194195,-120548.900321229,2168.61
-1percent,1.79571104,-120548.894665437,2286.728
-2percent,1.74076291,-120548.863125252,2284.622
-3percent,1.65575617,-120548.803468319,2284.737
-4percent,1.58002468,-120548.713435895,2395.104
-5percent,1.51590951,-120548.59069434,2422.055
-6percent,1.46589484,-120548.432902497,2547.905
-7percent,1.43253084,-120548.23768113,2506.242
-8percent,1.39575748,-120548.002673046,2573.576
