Strain,Particle,Band Index,Direction,Least Squares m* (m_e),Finite Difference m* (m_e)
0%,hole,10, 1. -0. -0.,-2.6115,-1.4261
0%,hole,10,1. 0. 0.,-0.5399,-0.6774
0%,hole,10,1. 1. 0.,-0.6339,-0.794
0%,hole,10, 1.  1. -0.,-2.3661,-1.5006
0%,electron,11, 1. -0. -0.,1.4845,1.5242
0%,electron,11,-0. -0.  1.,2.0131,2.1311
1%,hole,9, 1. -0. -0.,-1.5158,-3.8784
1%,hole,9,1. 0. 0.,-1.3797,-0.899
1%,hole,9,1. 1. 0.,-1.5685,-0.9786
1%,hole,9, 1.  1. -0.,-1.4682,-3.8198
1%,electron,10, 1. -0. -0.,1.5812,1.6218
1%,electron,10,-0. -0.  1.,2.3793,2.5162
2%,hole,7, 1. -0. -0.,-2.3551,-3.4604
2%,hole,7,1. 0. 0.,-1.0431,-0.9234
2%,hole,7,1. 1. 0.,-1.127,-0.9904
2%,hole,7, 1.  1. -0.,-2.2054,-3.351
2%,electron,8, 1. -0. -0.,1.6898,1.7336
2%,electron,8,-0. -0.  1.,2.8895,3.0575
3%,hole,7, 1. -0. -0.,-4.9646,-3.0966
3%,hole,7,1. 0. 0.,-0.8442,-0.9492
3%,hole,7,1. 1. 0.,-0.8891,-1.0025
3%,hole,7, 1.  1. -0.,-4.2014,-2.9885
3%,electron,8, 1. -0. -0.,1.8121,1.8626
3%,electron,8,-0. -0.  1.,3.6363,3.8447
4%,hole,7, 1. -0. -0.,-4.3352,-15.8965
4%,hole,7,1. 0. 0.,-1.9797,-1.4306
4%,hole,7,1. 1. 0.,-2.1254,-1.4219
4%,hole,7, 1.  1. -0.,-3.5822,-17.6786
4%,electron,8, 1. -0. -0.,1.9522,2.0058
4%,electron,8, 1.        -1.9999472 -0.       ,0.3999,0.4192
4%,electron,8,-0. -0.  1.,4.8281,5.1135
5%,hole,7, 1. -0. -0.,-12.1437,-8.2608
5%,hole,7,1. 0. 0.,-1.3922,-1.4262
5%,hole,7,1. 1. 0.,-1.4693,-1.4019
5%,hole,7, 1.  1. -0.,-7.44,-8.9485
5%,electron,8, 1. -0. -0.,2.1119,2.1671
5%,electron,8, 1.        -1.9999472 -0.       ,0.4239,0.4441
5%,electron,8,-0. -0.  1.,6.9758,7.3862
6%,hole,7, 1. -0. -0.,-22.0561,148.8495
6%,hole,7,1. 0. 0.,-2.9764,-2.3661
6%,hole,7,1. 1. 0.,-3.5504,-2.2991
6%,hole,7, 1.  1. -0.,-12.8021,27.9783
6%,electron,8, 1. -0. -0.,2.3008,2.3695
6%,electron,8, 1.        -1.9999472 -0.       ,0.4515,0.4728
6%,electron,8,-0. -0.  1.,11.9728,12.7996
7%,hole,7,1. 0. 0.,-6.501,-4.4512
7%,hole,7,1. 1. 0.,-9.8008,-4.7647
7%,electron,8, 1. -0. -0.,2.5289,2.5959
7%,electron,8, 1.        -1.9999472 -0.       ,0.4838,0.5066
7%,electron,8,-0. -0.  1.,36.3408,38.8818
8%,hole,7,1. 0. 0.,-13.6664,-9.2238
8%,hole,7,1. 1. 0.,-21.3527,-12.3267
8%,electron,8, 1. -0. -0.,2.4563,2.4996
8%,electron,8, 1.        -1.9999472 -0.       ,0.4207,0.4474
8%,electron,8,0. 0. 1.,27.9812,29.0245
-1%,hole,10, 1. -0. -0.,-1.5609,-1.4242
-1%,hole,10,1. 0. 0.,-0.6058,-0.6552
-1%,hole,10,1. 1. 0.,-0.7552,-0.7804
-1%,hole,10, 1.  1. -0.,-1.4432,-1.5225
-1%,electron,11, 1. -0. -0.,1.3982,1.4362
-1%,electron,11,-0. -0.  1.,1.7403,1.8416
-2%,hole,10,1. 0. 0.,-0.4714,-1.0595
-2%,hole,10,1. 1. 0.,-0.4283,1.6896
-2%,hole,10,0. 0. 1.,-4.1656,-4.0486
-2%,electron,11, 1. -0. -0.,1.3204,1.3576
-2%,electron,11,-0. -0.  1.,1.5323,1.6265
-3%,hole,10,1. 0. 0.,-0.4057,-0.5234
-3%,hole,10,0. 0. 1.,-4.3649,-4.1464
-3%,electron,11, 1. -0. -0.,1.2527,1.2872
-3%,electron,11,-0. -0.  1.,1.3718,1.4543
-4%,hole,10,1. 0. 0.,-0.4289,-0.4737
-4%,hole,10,0. 0. 1.,-4.6935,-4.3475
-4%,electron,11, 1. -0. -0.,1.1932,1.2269
-4%,electron,11,-0. -0.  1.,1.2464,1.3227
-5%,hole,10,1. 0. 0.,-0.4822,-0.4513
-5%,hole,10,0. 0. 1.,-5.2256,-4.6623
-5%,electron,11, 1. -0. -0.,1.1424,1.1763
-5%,electron,11,-0. -0.  1.,1.1494,1.2208
-6%,hole,10,1. 0. 0.,-0.4822,-0.4513
-6%,hole,10,0. 0. 1.,-5.2256,-4.6623
-6%,electron,11, 1. -0. -0.,1.1424,1.1763
-6%,electron,11,-0. -0.  1.,1.1494,1.2208
-7%,hole,10,1. 0. 0.,-0.7492,-0.4328
-7%,hole,10,0. 0. 1.,-7.6125,-5.9217
-7%,electron,11, 1. -0. -0.,1.0693,1.101
-7%,electron,11,-0. -0.  1.,1.0233,1.0852
-8%,hole,10,0. 0. 1.,-10.7859,-7.1306
-8%,electron,11, 1. -0. -0.,1.0478,1.0803
-8%,electron,11,-0. -0.  1.,0.9886,1.0482
