Strain,Particle,Band,Direction,Least squares,Finite difference,Unnamed: 6,Unnamed: 7,Unnamed: 8,EffMass_SI,Mobility (cm²/V·s)
8%,hole,6,0 0 1,-4.1599,-4.2882,,,,-3.7894124671244e-30,0.9845998812748833
8%,hole,7,1 0 0,-0.55,-0.5782,,,,-5.010160958000001e-31,56.324867861604616
8%,hole,7,1 1 0,-0.5332,-0.5462,,,,-4.857123314192e-31,59.93013818018247
8%,hole,7,0 0 1,-4.1646,-4.2987,,,,-3.7936938773976e-30,0.9823787756851821
8%,electron,8,1 -0 -0,1.536,1.5538,,,,1.399201314816e-30,7.221761291561295
8%,electron,8,0 0 1,2.2065,2.3216,,,,2.009985482514e-30,3.499594271510788
7%,hole,10,1 1 0,-0.7557,-0.6981,,,,-6.883961156292e-31,29.835046296263428
7%,hole,10,1 1 -0,-1.0245,-1.2626,,,,-9.33256345722e-31,16.233106392777064
7%,electron,11,0 0 1,11.1155,11.4549,,,,1.0125535296118e-29,0.13790104413701806
7%,electron,11,1 0 0,0.7406,0.8662,,,,6.746409464536e-31,31.064054901977126
7%,electron,11,1 1 0,0.6714,0.7052,,,,6.116040122184e-31,37.79748355073836
7%,electron,12,0 0 1,11.1399,11.5103,,,,1.01477621920044e-29,0.13729760954778658
6%,hole,9,1 1 0,-0.6273,-0.6947,,,,-5.714316307188e-31,43.298712777496334
6%,hole,9,1 1 -0,-1.2977,-1.1829,,,,-1.1821247045812e-30,10.117587086910907
6%,electron,10,0 0 1,11.4987,11.8386,,,,1.0474606874137199e-29,0.12886295132401968
6%,electron,10,1 0 0,0.7673,0.897,,,,6.989630005587999e-31,28.939775924206042
6%,electron,10,1 1 0,0.689,0.7192,,,,6.276365272839999e-31,35.891128743273214
6%,electron,11,0 0 1,11.5254,11.899,,,,1.0498928928242399e-29,0.12826658929449386
5%,hole,9,1 1 0,-0.5357,-0.6939,,,,-4.879896773091999e-31,59.37208052233286
5%,hole,9,1 1 -0,-1.8063,-1.1173,,,,-1.6454279524428e-30,5.222107366549592
5%,electron,10,0 0 1,11.9658,12.3425,,,,1.0900106180224799e-29,0.1189986628123319
5%,electron,10,1 0 0,0.8043,0.9406,,,,7.326677197308e-31,26.3384020700611
5%,electron,10,1 1 0,0.7147,0.7413,,,,6.510476430332e-31,33.3563096149295
5%,electron,11,0 0 1,11.9364,12.2762,,,,1.08733245925584e-29,0.11958558504331557
4%,hole,9,1 1 0,-1.4069,-0.7873,,,,-1.2815991730564e-30,8.607937425092757
4%,hole,9,1 1 -0,-0.8953,-2.0073,,,,-8.155631101268e-31,21.256335274208638
4%,electron,10,1 -0 -0,3.02,3.1774,,,,2.75103383512e-30,1.8681497004665806
4%,electron,10,1 -19999472 -0,0.469,0.4942,,,,4.272300889639999e-31,77.46042493048954
4%,electron,10,0 0 1,2.5891,2.7402,,,,2.3585104975196003e-30,2.5417211987850448
3%,hole,9,1 1 0,-1.0405,-0.778,,,,-9.478313594179999e-31,15.737704679033872
3%,hole,9,1 1 -0,-1.0669,-1.8202,,,,-9.718801320164e-31,14.968494781448758
3%,electron,10,1 -0 -0,2.1584,2.2463,,,,1.9661693475903998e-30,3.657309346627952
3%,electron,10,1 -19999472 -0,0.4088,0.4303,,,,3.723915999328e-31,101.9538866089344
3%,electron,10,0 0 1,2.3352,2.472,,,,2.1272232489312e-30,3.1244774640087147
2%,hole,10,1 -0 -0,-1.4568,-1.6266,,,,-1.3270549970208e-30,8.028338861073056
2%,hole,10,1 0 0,-0.6966,-0.6847,,,,-6.345596587896e-31,35.11224678625536
2%,hole,10,1 1 0,-0.8357,-0.7761,,,,-7.6127118410919995e-31,24.396344432979994
2%,hole,10,1 1 -0,-1.3195,-1.677,,,,-1.2019831607419999e-30,9.786035151530436
2%,electron,11,1 -0 -0,1.7898,1.8508,,,,1.6303974695688002e-30,5.318835430089548
2%,electron,11,0 0 1,2.1728,2.2998,,,,1.9792868599168e-30,3.6089931298425144
1%,hole,10,1 -0 -0,-1.8746,-1.5117,,,,-1.7076450421576e-30,4.848510440685443
1%,hole,10,1 0 0,-0.6043,-0.6784,,,,-5.504800485307999e-31,46.65738260798275
1%,hole,10,1 1 0,-0.7112,-0.7813,,,,-6.478593587872e-31,33.685427598673904
1%,hole,10,1 1 -0,-1.7125,-1.5705,,,,-1.5599819346499998e-30,5.809843048647589
1%,electron,11,1 -0 -0,1.595,1.6441,,,,1.4529466778199999e-30,6.697368354530872
1%,electron,11,0 0 1,2.0711,2.1948,,,,1.8866444291116e-30,3.972129721372099
0%,hole,10,1 -0 -0,-2.6115,-1.4261,,,,-2.3789155166939997e-30,2.4983052475536547
0%,hole,10,1 0 0,-0.5399,-0.6774,,,,-4.918156184044e-31,58.45193673794145
0%,hole,10,1 1 0,-0.6339,-0.794,,,,-5.774438238684e-31,42.40177693437318
0%,hole,10,1 1 -0,-2.3661,-1.5006,,,,-2.1553712441315998e-30,3.043402334658689
0%,electron,11,1 -0 -0,1.4845,1.5242,,,,1.352287989482e-30,7.7315248601260524
0%,electron,11,0 0 1,2.0131,2.1311,,,,1.8338100044636e-30,4.2043112788167125
-1%,hole,10,1 -0 -0,-1.2562,-3.8011,,,,-1.1443207628071999e-30,10.797121347776166
-1%,hole,10,1 0 0,-1.5455,-0.8641,,,,-1.4078552291980001e-30,7.133251587695777
-1%,hole,10,1 1 0,-1.9238,-0.9772,,,,-1.7524632092728e-30,4.6036862686830125
-1%,hole,10,1 1 -0,-1.2462,-3.913,,,,-1.1352113792472e-30,10.971097299092337
-1%,electron,11,1 -0 -0,1.4215,1.4566,,,,1.2948988730539999e-30,8.432023970426231
-1%,electron,11,0 0 1,1.9872,2.1021,,,,1.8102167010432e-30,4.314618522345193
-2%,hole,9,1 0 0,-0.3775,4.5202,,,,-3.4387922939e-31,119.56158082986116
-2%,hole,9,1 1 0,-0.3782,4.768,,,,-3.4451688623919997e-31,119.11940391847074
-2%,hole,9,0 0 1,-4.0239,-4.1351,,,,-3.6655248507084e-30,1.0522797232715715
-2%,hole,10,1 0 0,-0.4921,-0.5123,,,,-4.482727649875999e-31,70.35886588730021
-2%,hole,10,1 1 0,-0.482,-0.495,,,,-4.39072287592e-31,73.33840898114444
-2%,hole,10,0 0 1,-4.0239,-4.1351,,,,-3.6655248507084e-30,1.0522797232715715
-2%,electron,11,1 -0 -0,1.39,1.4195,,,,1.2662043148399998e-30,8.818525194418198
-2%,electron,11,0 0 1,1.9868,2.0982,,,,1.8098523257008e-30,4.316356010910027
-3%,hole,8,0 0 1,-4.0201,-4.1241,,,,-3.6620632849556e-30,1.0542699985466861
-3%,hole,9,1 0 0,-0.5032,-0.5244,,,,-4.583841807392e-31,67.28903431447085
-3%,hole,9,1 1 0,-0.4684,-0.5155,,,,-4.266835259503999e-31,77.65899889286148
-3%,hole,9,0 0 1,-4.0201,-4.1241,,,,-3.6620632849556e-30,1.0542699985466861
-3%,electron,10,1 -0 -0,1.3796,1.4087,,,,1.2567305559376e-30,8.951981770475173
-3%,electron,10,0 0 1,2.0028,2.1159,,,,1.8244273393968e-30,4.247666340853431
-4%,hole,8,0 0 1,-4.0306,-4.1419,,,,-3.671628137693599e-30,1.048784256408763
-4%,hole,9,1 0 0,-0.5145,-0.5368,,,,-4.686777841619999e-31,64.36574529371418
-4%,hole,9,1 1 0,-0.4996,-0.509,,,,-4.551048026576e-31,68.26226605037192
-4%,hole,9,0 0 1,-4.0306,-4.1419,,,,-3.671628137693599e-30,1.048784256408763
-4%,electron,10,1 -0 -0,1.3861,1.4108,,,,1.2626516552516e-30,8.868219490832018
-4%,electron,10,0 0 1,2.0317,2.1456,,,,1.8507534578852e-30,4.127683595077915
-6%,hole,6,0 0 1,-4.0917,-4.2162,,,,-3.7272864712452e-30,1.0176958237259304
-6%,hole,7,1 0 0,-0.5355,-0.5602,,,,-4.87807489638e-31,59.41643769711946
